topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18
230,writers,literary,writing,literature,book,writer,author,fiction,books,published,work,novels,english,stories,american,wrote,authors,story,write
231,africa,african,south,africans,mazrui,hindley,west,western,series,apartheid,nigeria,rushdie,anti,black,tutu,nigerian,continent,country,countries
232,miss,murray,wharton,edith,reid,harrington,ali,meyer,failure,brodie,lily,emojis,clown,gaines,resolutions,pacheco,publicity,ferris,sandburg
233,review,journals,journal,articles,article,kramer,published,publication,hockney,fat,scholarly,paper,academic,publishing,publications,peer,editor,publish,rankings
234,movie,movies,comic,star,date,comics,wars,release,hollywood,batman,tv,series,summer,disney,superhero,fans,schulz,rating,strip
235,editor,times,news,york,magazine,article,writer,page,newspaper,journalism,reporter,column,editorial,journal,newspapers,press,ed,paper,daily
236,christmas,holiday,yea,thanksgiving,nay,tree,santa,family,year,holidays,winter,eve,decorated,carols,carol,season,service,gift,choir
237,tickets,dinner,benefit,event,evening,party,guests,auction,live,reception,black,annual,tie,gala,center,house,raise,money,cocktails
238,french,japanese,france,paris,japan,revolution,jean,world,la,international,cocteau,government,country,le,tokyo,european,lang,revolutionary,jacques
239,los,angeles,santa,mexico,fe,california,san,mexican,texas,calif,antonio,julian,southern,la,county,monica,albuquerque,spanish,rodriguez
240,health,medical,disease,patients,care,treatment,mental,cancer,pain,people,brain,illness,patient,alzheimer,hospital,life,body,doctors,medicine
241,texas,austin,collection,center,university,horowitz,manuscripts,research,ransom,archive,manuscript,rare,silverman,kerouac,papers,harry,million,humanities,staley
242,economic,workers,jobs,work,business,industry,economy,government,system,american,labor,force,high,market,future,international,trade,growth,companies
243,jackson,director,chief,executive,pearl,assistant,senior,national,security,dumont,ward,sam,nisbet,minister,prime,daley,secretary,andrew,deputy
244,day,back,night,man,year,told,home,asked,room,days,morning,high,make,hard,made,young,big,didn,left
245,story,show,world,stories,characters,age,series,tales,love,tale,fairy,character,young,true,girl,calvino,storytelling,season,princess
246,theater,play,plays,broadway,stage,production,company,drama,theatre,show,director,musical,performance,directed,playwright,performances,actors,artistic,season
247,science,sciences,social,natural,economics,biology,psychology,design,human,humanities,evolution,theory,anthropology,biological,scientific,intelligent,sociology,physical,behavior
248,percent,job,jobs,college,graduates,major,year,number,majors,average,market,high,education,degrees,career,study,business,humanities,report
249,castro,vicente,cuba,pell,cuban,harriet,duras,rubin,esteban,stein,cowles,fitzgerald,macaulay,holography,cathedral,island,havana,fidel,newport
